factor,ic_mean,ic_std,icir,ic_t,ic_pvalue,positive_ratio,n_dates,top_minus_bottom,monotonic_score,autocorr_lag1,abs_icir,abs_monotonic,has_persistence,score
alpha040_lag15,-0.05065029383893557,0.10005178072394018,-0.5062408032365593,-8.115657457743664,2.0335714358172004e-14,0.31906614785992216,257,-0.02090959989178459,-1.0,0.805171676189717,0.5062408032365593,1.0,1.0,1.3062408032365593
mfi_14_lag15,0.058201759985022826,0.11810064889883523,0.4928149043014855,7.900423924368386,8.238366374109251e-14,0.6653696498054474,257,0.024551095030155345,1.0,0.9088452624354084,0.4928149043014855,1.0,1.0,1.2928149043014856
adx_14_lag0,-0.047695549093795905,0.0999936016066385,-0.4769860103791824,-7.6466674507947925,4.1680942506157203e-13,0.3229571984435798,257,-0.030800882133022803,-1.0,0.9884287098453135,0.4769860103791824,1.0,1.0,1.2769860103791824
mfi_14_lag5,0.055889688318317705,0.11917265533173181,0.46898080908528766,7.518334311375413,9.349814087323071e-13,0.6964980544747081,257,0.01825744088349941,1.0,0.9029479259976835,0.46898080908528766,1.0,1.0,1.2689808090852877
volume_ma_ratio_5_20_lag2,-0.05334203609924133,0.11961179610283623,-0.4459596614817198,-7.149277240036559,9.107936918130388e-12,0.3229571984435798,257,-0.013866032798498372,-1.0,0.8403836539321397,0.4459596614817198,1.0,1.0,1.2459596614817199
volume_ma_ratio_5_20_lag1,-0.052155369850307214,0.11864168952561095,-0.43960407221821074,-7.047389393235221,1.685949959827238e-11,0.35019455252918286,257,-0.011720361489810427,-1.0,0.8392233880607588,0.43960407221821074,1.0,1.0,1.2396040722182107
bollinger_z_20_lag15,0.05467281491396067,0.12478697589516095,0.4381291759157119,7.023745006808353,1.943363927547421e-11,0.6770428015564203,257,0.02114872920911816,1.0,0.7670597558102045,0.4381291759157119,1.0,1.0,1.2381291759157118
mfi_14_lag4,0.05225880315781858,0.12171972074671615,0.4293371923401201,6.882798787899426,4.5043956326700834e-11,0.708171206225681,257,0.01797848576606744,1.0,0.9028056109117875,0.4293371923401201,1.0,1.0,1.2293371923401202
corr_price_vol_20_lag15,0.04875374577940165,0.11965900711751241,0.40743899647706844,6.531744002447726,3.481363867836499e-10,0.6459143968871596,257,0.020950996833798002,1.0,0.9217676653947878,0.40743899647706844,1.0,1.0,1.2074389964770684
risk_adj_mom_20_lag15,0.05059933974319606,0.13193697748456734,0.3835114363531229,6.1481560329991884,2.9926599880100512e-09,0.6575875486381323,257,0.02171530885644073,1.0,0.8710507367261588,0.3835114363531229,1.0,1.0,1.183511436353123
risk_adj_mom_20_lag7,0.05105269406414962,0.1337425824307253,0.38172355532758917,6.119494119764092,3.5018703233986037e-09,0.642023346303502,257,0.02054743429983584,1.0,0.874733497999601,0.38172355532758917,1.0,1.0,1.181723555327589
adx_14_lag4,-0.04165083893333099,0.11182487107592635,-0.372464895622827,-5.971066513373479,7.836438006793943e-09,0.3424124513618677,257,-0.032160040841148936,-1.0,0.9876003393213708,0.372464895622827,1.0,1.0,1.172464895622827
bollinger_z_20_lag10,0.04787944536669269,0.13062865146919786,0.36653096260419277,5.875938330404934,1.3035436484088771e-08,0.6459143968871596,257,0.015799287012139472,1.0,0.7694879448494483,0.36653096260419277,1.0,1.0,1.1665309626041929
corr_price_vol_20_lag10,0.03994338734747205,0.10999964708279623,0.36312286817981193,5.821302420468223,1.7414699906948416e-08,0.688715953307393,257,0.014374792866362666,1.0,0.9234201700312463,0.36312286817981193,1.0,1.0,1.163122868179812
ema_gap_12_26_lag15,0.05671971461586026,0.17025733730992113,0.333141088143607,5.340657922451427,2.0447420801504912e-07,0.6498054474708171,257,0.029151684036434658,1.0,0.9735198931430901,0.333141088143607,1.0,1.0,1.133141088143607
donchian_pos_20_lag15,0.03414685467986305,0.11527212244344127,0.2962282116095966,4.748899494812344,3.408692661079005e-06,0.603112840466926,257,0.01202064228218179,1.0,0.7882701809139965,0.2962282116095966,1.0,1.0,1.0962282116095967
mfi_14_lag10,0.06114976203170036,0.12162137416405652,0.502787955258709,8.060304093766007,2.920137714855008e-14,0.6731517509727627,257,0.022782091258448853,0.5,0.9081896816207793,0.502787955258709,0.5,1.0,1.052787955258709
trend_slope_ma20_lag10,0.07715886300342907,0.16308351592852546,0.4731248438207909,7.584768242009447,6.160514539765496e-13,0.6653696498054474,257,0.02501480401404385,0.5,0.9671609794003548,0.4731248438207909,0.5,1.0,1.023124843820791
momentum_20_lag10,0.07376350896817409,0.156463500258066,0.4714422778891618,7.557794658165811,7.299587146916697e-13,0.6536964980544747,257,0.021628697265303733,0.5,0.8772887898995153,0.4714422778891618,0.5,1.0,1.0214422778891619
realized_vol_10_lag15,0.07780003983196539,0.17352175172793013,0.44835900431636005,7.187741631774918,7.208282283825223e-12,0.6536964980544747,257,0.02645625679745539,0.5,0.9201338322883225,0.44835900431636005,0.5,1.0,0.9983590043163602
trend_slope_ma20_lag7,0.07149159233275808,0.15983422116524776,0.44728589291804466,7.170538347355628,8.004050296882675e-12,0.6381322957198443,257,0.021532277145418298,0.5,0.9673539913919061,0.44728589291804466,0.5,1.0,0.9972858929180446
price_ma_gap_20_lag15,0.06397785555341866,0.14392711652629764,0.4445156485972464,7.126127952464261,1.0480779146160697e-11,0.6459143968871596,257,0.017441343636285474,0.5,0.8284455387171722,0.4445156485972464,0.5,1.0,0.9945156485972464
realized_vol_10_lag10,0.07721762412001595,0.17537586540768935,0.4402978935585646,7.058512195465276,1.5767741411310974e-11,0.6653696498054474,257,0.026230681258282255,0.5,0.9217745817467735,0.4402978935585646,0.5,1.0,0.9902978935585647
vol_ratio_5_20_lag1,-0.04455055385986224,0.10355352012786925,-0.43021766720098575,-6.896913873695071,4.14277119374218e-11,0.35019455252918286,257,-0.0188675478463727,-0.5,0.7877187597097292,0.43021766720098575,0.5,1.0,0.9802176672009857
